,physical_recovery,original_wake_up_time,movement_awakening,original_bed_time,sleep_cycle,efficiency,sleep_score,sleep_duration,start_time,update_time,create_time,time_offset,end_time
110,60,2024-04-04 09:10:00,17,2024-04-04 01:32:00,4,90,86,433,2024-04-04 01:32:00,2024-04-04 09:38:12.970,2024-04-04 09:37:35.274,UTC-0300,2024-04-04 08:45:00
111,64,2024-04-05 08:09:00,21,2024-04-05 00:30:00,3,90,84,430,2024-04-05 00:30:00,2024-04-05 08:22:03.026,2024-04-05 08:21:47.737,UTC-0300,2024-04-05 07:40:00
112,41,2024-04-06 07:37:00,21,2024-04-06 01:40:00,1,91,66,342,2024-04-06 01:40:00,2024-04-06 07:43:22.382,2024-04-06 07:43:14.411,UTC-0300,2024-04-06 07:22:00
113,67,2024-04-07 07:24:00,10,2024-04-07 01:25:00,4,94,75,342,2024-04-07 01:25:00,2024-04-07 07:51:43.370,2024-04-07 07:50:58.324,UTC-0300,2024-04-07 07:07:00
114,80,2024-04-08 08:49:00,24,2024-04-08 00:07:00,6,87,85,502,2024-04-08 00:07:00,2024-04-08 09:14:27.049,2024-04-08 09:14:10.140,UTC-0300,2024-04-08 08:29:00
115,67,2024-04-09 07:45:00,14,2024-04-09 01:01:00,4,92,79,364,2024-04-09 01:01:00,2024-04-09 07:53:08.031,2024-04-09 07:52:51.927,UTC-0300,2024-04-09 07:05:00
116,57,2024-04-10 06:30:00,41,2024-04-10 00:13:00,6,84,70,360,2024-04-10 00:13:00,2024-04-10 07:00:59.060,2024-04-10 07:00:52.228,UTC-0300,2024-04-10 06:13:00
117,80,2024-04-11 08:03:00,15,2024-04-11 00:53:00,4,92,89,420,2024-04-11 00:53:00,2024-04-11 08:34:05.915,2024-04-11 08:33:38.162,UTC-0300,2024-04-11 07:53:00
118,75,2024-04-12 08:44:00,31,2024-04-11 23:57:00,4,85,83,501,2024-04-11 23:57:00,2024-04-12 08:51:17.408,2024-04-12 08:51:04.362,UTC-0300,2024-04-12 08:18:00
119,61,2024-04-13 07:44:00,20,2024-04-13 02:01:00,3,91,73,331,2024-04-13 02:01:00,2024-04-13 07:45:57.858,2024-04-13 07:45:45.390,UTC-0300,2024-04-13 07:32:00
120,57,2024-04-14 08:01:00,10,2024-04-14 02:09:00,4,94,71,327,2024-04-14 02:09:00,2024-04-14 08:30:16.315,2024-04-14 08:27:58.855,UTC-0300,2024-04-14 07:36:00
121,67,2024-04-15 08:28:00,12,2024-04-15 00:39:00,3,93,87,445,2024-04-15 00:39:00,2024-04-15 08:55:04.992,2024-04-15 08:54:54.131,UTC-0300,2024-04-15 08:04:00
122,50,2024-04-16 07:34:00,16,2024-04-16 01:17:00,4,92,70,350,2024-04-16 01:17:00,2024-04-16 07:52:53.573,2024-04-16 07:52:42.220,UTC-0300,2024-04-16 07:07:00
123,64,2024-04-17 09:30:00,6,2024-04-17 01:27:00,5,95,91,436,2024-04-17 01:27:00,2024-04-17 09:30:57.607,2024-04-17 09:30:47.770,UTC-0300,2024-04-17 08:43:00
124,80,2024-04-18 08:17:00,14,2024-04-18 00:58:00,4,91,88,409,2024-04-18 00:58:00,2024-04-18 08:47:24.375,2024-04-18 08:47:17.192,UTC-0300,2024-04-18 07:47:00
125,55,2024-04-19 07:32:00,8,2024-04-19 01:14:00,3,95,80,344,2024-04-19 01:14:00,2024-04-19 07:58:19.973,2024-04-19 07:58:10.064,UTC-0300,2024-04-19 06:58:00
126,64,2024-04-20 07:08:00,13,2024-04-20 00:21:00,4,91,84,381,2024-04-20 00:21:00,2024-04-20 07:17:41.275,2024-04-20 07:17:26.204,UTC-0300,2024-04-20 06:42:00
127,74,2024-04-21 07:42:00,12,2024-04-21 02:13:00,2,92,70,301,2024-04-21 02:13:00,2024-04-21 08:07:57.141,2024-04-21 08:07:51.119,UTC-0300,2024-04-21 07:14:00
128,71,2024-04-22 06:58:00,18,2024-04-21 23:02:00,4,92,85,453,2024-04-21 23:02:00,2024-04-22 07:24:08.403,2024-04-22 07:22:15.136,UTC-0300,2024-04-22 06:35:00
129,58,2024-04-23 06:55:00,14,2024-04-22 23:33:00,2,92,85,417,2024-04-22 23:33:00,2024-04-23 07:13:20.544,2024-04-23 07:13:06.288,UTC-0300,2024-04-23 06:30:00
130,66,2024-04-24 05:22:00,15,2024-04-23 23:46:00,2,93,68,302,2024-04-23 23:46:00,2024-04-24 07:56:01.364,2024-04-24 05:49:07.106,UTC-0300,2024-04-24 04:48:00
131,39,2024-04-24 07:55:00,23,2024-04-24 06:02:00,0,85,40,95,2024-04-24 06:02:00,2024-04-24 07:56:01.399,2024-04-24 07:55:56.126,UTC-0300,2024-04-24 07:37:00
132,50,2024-04-25 07:56:00,38,2024-04-25 01:40:00,2,81,68,349,2024-04-25 01:40:00,2024-04-25 08:26:48.084,2024-04-25 08:26:41.189,UTC-0300,2024-04-25 07:29:00
133,66,2024-04-27 08:01:00,11,2024-04-27 01:08:00,5,93,84,405,2024-04-27 01:08:00,2024-04-27 08:10:18.020,2024-04-27 08:09:57.122,UTC-0300,2024-04-27 07:53:00
134,72,2024-04-28 09:43:00,15,2024-04-28 01:44:00,3,91,88,466,2024-04-28 01:44:00,2024-04-28 09:50:16.611,2024-04-28 09:50:06.394,UTC-0300,2024-04-28 09:30:00
135,75,2024-04-29 08:15:00,12,2024-04-29 00:15:00,4,91,90,448,2024-04-29 00:15:00,2024-04-29 08:39:52.023,2024-04-29 08:39:40.293,UTC-0300,2024-04-29 07:43:00
136,63,2024-04-30 07:44:00,30,2024-04-30 00:45:00,3,85,80,412,2024-04-30 00:45:00,2024-04-30 07:44:32.066,2024-04-30 07:44:18.369,UTC-0300,2024-04-30 07:37:00
